
Fixed Plot Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
1.0,1.0,0.9894736842105263,1.0,1.0
0.9782608695652174,0.9655172413793104,1.0,0.9897959183673469,0.9841269841269841
0.96,0.9855072463768116,0.9545454545454546,0.9868421052631579,0.9883720930232558
0.9836065573770492,0.9787234042553191,0.9787234042553191,0.9887640449438202,0.9848484848484849
1.0,0.9873417721518988,0.9878048780487805,0.9655172413793104,0.989247311827957
0.9629629629629629,0.9852941176470589,1.0,0.9893617021276596,0.9891304347826086
0.984375,0.989247311827957,0.9736842105263158,0.9855072463768116,0.9888888888888889
0.9868421052631579,0.9850746268656716,0.9873417721518988,0.9821428571428571,0.9811320754716981
0.9852941176470589,0.9873417721518988,0.9850746268656716,0.9761904761904762,0.9861111111111112
0.9891304347826086,1.0,1.0,0.9895833333333334,0.9887640449438202
0.9772727272727273,0.9615384615384616,0.9861111111111112,0.9666666666666667,0.9833333333333333
0.9859154929577465,0.9814814814814815,0.9736842105263158,0.9473684210526315,0.967741935483871
0.9583333333333334,0.9795918367346939,0.9871794871794872,0.9836065573770492,0.9696969696969697
0.989010989010989,0.9861111111111112,0.989247311827957,0.9887640449438202,0.9722222222222222
0.9888888888888889,0.9836065573770492,1.0,0.967741935483871,0.9791666666666666
0.9880952380952381,0.9827586206896551,1.0,1.0,0.9583333333333334
0.9811320754716981,0.975609756097561,1.0,1.0,0.9841269841269841
0.975609756097561,1.0,0.9722222222222222,0.9891304347826086,0.9787234042553191
0.9875,0.989010989010989,0.9736842105263158,0.9807692307692307,0.9897959183673469
0.9836065573770492,0.975609756097561,0.9705882352941176,0.9896907216494846,0.9880952380952381

Flexible Plot Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
0.5,0.9879518072289156,0.9894736842105263,0.9886363636363636,0.8571428571428571
0.021739130434782608,0.034482758620689655,0.1,0.01020408163265306,0.3333333333333333
0.96,0.014492753623188406,0.045454545454545456,0.013157894736842105,0.011627906976744186
0.5081967213114754,0.9787234042553191,1.0,1.0,0.9848484848484849
0.5,0.9873417721518988,0.9878048780487805,0.9655172413793104,0.5053763440860215
0.48148148148148145,0.014705882352941176,0.9444444444444444,0.9893617021276596,0.34782608695652173
0.5,0.010752688172043012,0.02631578947368421,0.014492753623188406,0.011111111111111112
0.9868421052631579,0.4925373134328358,0.012658227848101266,0.9821428571428571,0.9811320754716981
0.5,0.012658227848101266,0.0,0.023809523809523808,0.013888888888888888
0.5,0.984375,1.0,0.9895833333333334,0.8876404494382022
0.022727272727272728,0.038461538461538464,0.9861111111111112,0.9666666666666667,0.6666666666666666
0.9859154929577465,0.5,0.5,0.9473684210526315,0.03225806451612903
0.5,0.0,0.01282051282051282,0.01639344262295082,0.9696969696969697
0.4945054945054945,0.6944444444444444,0.989247311827957,0.9887640449438202,0.9722222222222222
0.9888888888888889,0.01639344262295082,0.1,0.03225806451612903,0.9791666666666666
0.5,0.9827586206896551,0.9761904761904762,0.9,0.9583333333333334
0.018867924528301886,0.975609756097561,1.0,0.984375,0.9841269841269841
0.024390243902439025,1.0,0.6666666666666666,0.9891304347826086,0.9787234042553191
0.9875,0.01098901098901099,0.9736842105263158,0.9807692307692307,0.5
0.01639344262295082,0.975609756097561,0.9705882352941176,0.9896907216494846,0.011904761904761904

Fixed Bar Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
0.8888888888888888,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,0.8888888888888888
0.8888888888888888,1.0,1.0,1.0,1.0
0.8888888888888888,1.0,1.0,1.0,0.8888888888888888
0.8888888888888888,1.0,1.0,1.0,1.0
0.8888888888888888,1.0,1.0,1.0,1.0
1.0,0.8888888888888888,1.0,1.0,1.0
0.8888888888888888,1.0,1.0,1.0,1.0
0.8888888888888888,1.0,1.0,1.0,0.8888888888888888
1.0,1.0,0.8888888888888888,1.0,1.0
1.0,0.8888888888888888,0.8888888888888888,1.0,1.0
0.8888888888888888,0.8888888888888888,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,0.8888888888888888,1.0,1.0,1.0
0.8888888888888888,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,0.8888888888888888,1.0
1.0,1.0,1.0,1.0,0.8888888888888888
1.0,1.0,1.0,1.0,1.0

Flexible Bar Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
1.0,1.0,1.0,1.0,0.0
0.0,1.0,1.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,1.0,0.0
0.0,1.0,1.0,0.0,1.0
1.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,1.0
1.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,1.0
0.0,1.0,1.0,1.0,1.0

Fixed Dictator Income Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
0.0,0.0,0.010526315789473684,0.0,0.0
0.01932367149758454,0.034482758620689655,0.0,0.009070294784580499,0.015873015873015872
