Data,Error
[0.47985138 0.28335946 0.33556842 0.27925674 0.22944974],[0.04457677 0.04290122 0.04112995 0.03616234 0.04240029]
[0.5093685  0.39284484 0.40341356 0.37935435 0.34547185],[0.03691562 0.02635877 0.01897799 0.03083564 0.04031588]
[0.49657016 0.1610518  0.2577785  0.27894938 0.24899485],[0.04667568 0.04568844 0.0540334  0.05649622 0.05353942]
