Data,Error
[0.70518178 0.74101573 0.73636906 0.78467689 0.75382846],[0.02261944 0.02976796 0.03063331 0.03556301 0.03234218]
[0.50012478 0.5010373  0.4983847  0.4986049  0.49655849],[0.00188153 0.00168978 0.00273553 0.00172654 0.00317533]
[0.26190453 0.25595118 0.19258199 0.24594091 0.24371842],[0.05490726 0.05373489 0.05411849 0.05643386 0.05593564]
