Data,Error
[0.98716362 0.98395415 0.98711971 0.9895583  0.99020977],[0.00224276 0.00461319 0.00296373 0.00249757 0.0027143 ]
[0.50055185 0.49729938 0.49858473 0.49955898 0.49898109],[0.00212168 0.00269097 0.00171506 0.00159059 0.00179201]
[0.02241767 0.02754161 0.02476598 0.02981213 0.0206294 ],[0.00357928 0.00554837 0.00466545 0.00482804 0.00250961]
