Data,Error
[0.50383129 0.80120533 0.68708722 0.8172738  0.80092303],[0.07659383 0.08012916 0.08689642 0.06100293 0.07851582]
[0.42834218 0.71634319 0.69201517 0.64077032 0.56710608],[0.08685452 0.08920755 0.09524462 0.09962665 0.0908281 ]
[0.47642058 0.37623399 0.33380732 0.21933461 0.16162352],[0.08844311 0.10334858 0.09912743 0.08017116 0.07961007]
