Data,Error
[0.86592538 0.87360103 0.86268196 0.87010826 0.86606212],[0.00738996 0.00653318 0.00883658 0.00763369 0.00782687]
[0.52827566 0.52720811 0.52654905 0.53013482 0.53046213],[0.01121519 0.01198927 0.01170181 0.01169642 0.01038214]
[0.13428863 0.13347765 0.13658369 0.13863283 0.13119458],[0.00537964 0.00700405 0.00573953 0.00621145 0.00559681]
