
Fixed Plot Data
Iteration 0,Iteration 1
0.5977011494252874,0.5972222222222222
0.40476190476190477,0.40208333333333335

Flexible Plot Data
Iteration 0,Iteration 1
0.2045977011494253,0.9861111111111112
0.40476190476190477,0.9895833333333334

Fixed Bar Data
Iteration 0,Iteration 1
0.8,1.0
0.8,1.0

Flexible Bar Data
Iteration 0,Iteration 1
0.8,1.0
0.4,1.0

Fixed Dictator Income Data
Iteration 0,Iteration 1
0.40229885057471265,0.4027777777777778
0.4,0.5979166666666667

Fixed Decider Income Data
Iteration 0,Iteration 1
0.4,0.7916666666666666
0.4,0.79375

Flexible Dictator Income Data
Iteration 0,Iteration 1
0.593103448275862,0.013888888888888888
0.29523809523809524,0.010416666666666666

Flexible Decider Income Data
Iteration 0,Iteration 1
0.2045977011494253,0.7916666666666666
0.10476190476190476,0.5979166666666667
