Data,Error
[0.49825073 0.50097596 0.49954764 0.49491371 0.493641  ],[0.00211358 0.00122329 0.00232715 0.00116165 0.0027057 ]
[0.02404453 0.02372805 0.0170127  0.02999764 0.02461128],[0.00362762 0.00329234 0.00220262 0.0050997  0.00404859]
[0.99858517 1.         0.99907407 0.99797838 0.99734956],[0.00100443 0.         0.00092593 0.00113359 0.00125866]
