Data,Error
[1. 1. 1.],[0. 0. 0.]
[0.0266285  0.03010693 0.01273873],[0.00560697 0.01192632 0.00126562]
[0.49275362 0.49835611 0.51103439],[0.00724638 0.02253337 0.0107856 ]
