Data,Error
[0.47724723 0.90294369 0.97127399 0.98160982 0.95380681],[0.03976491 0.05184998 0.01416697 0.00580214 0.02455516]
[0.565407   0.49971058 0.49911183 0.49860632 0.49808978],[0.03778491 0.0041485  0.00309585 0.00184004 0.0020533 ]
[0.51743545 0.02754161 0.0480218  0.04647879 0.04454244],[0.03367384 0.00554837 0.02364112 0.01794116 0.02521202]
