Data,Error
[0.28210927 0.98666201 0.88955124 0.93672833 0.95621305],[0.08925098 0.00310315 0.04217297 0.04946812 0.02816737]
[0.590859   0.49925372 0.49980728 0.50234676 0.50242962],[0.09511766 0.00367412 0.0021066  0.00263029 0.0028555 ]
[0.50227158 0.02660132 0.02514573 0.04626081 0.04506954],[0.09765445 0.0049387  0.00287579 0.02414745 0.02390805]
