Data,Error
[0.55307298 0.81342065 0.82304898 0.8213592  0.88588364],[0.02679657 0.04873178 0.05137156 0.06181989 0.05591483]
[0.46257552 0.52326104 0.52197664 0.51909385 0.5145006 ],[0.03153616 0.01229657 0.01388558 0.01281219 0.00969518]
[0.49454058 0.27938054 0.14270934 0.14639094 0.09974571],[0.02839267 0.07171852 0.05506129 0.05627209 0.05237181]
