Data,Error
[0.36060889 0.98333305 0.96246277 0.96003277 0.96376501],[0.07800475 0.00547802 0.02529719 0.02522486 0.02355689]
[0.45586916 0.49887763 0.49311508 0.49607824 0.49287567],[0.09094882 0.00294474 0.0038723  0.0023206  0.00258837]
[0.36095649 0.02493261 0.06777333 0.05277578 0.01994773],[0.08386365 0.0044009  0.03315269 0.02360029 0.00231984]
