Data,Error
[0.56515775 0.99346405 1.        ],[0.23873437 0.00653595 0.        ]
[0.45605285 0.03010693 0.01273873],[0.14576686 0.01192632 0.00126562]
[0.67149758 0.49835611 0.48896561],[0.09634624 0.02253337 0.0107856 ]
