Fixed Plot Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
0.9811320754716981,0.9655172413793104,0.9861111111111112,1.0,1.0
0.9782608695652174,1.0,1.0,1.0,1.0
0.9827586206896551,0.9868421052631579,1.0,1.0,1.0
0.9642857142857143,0.9803921568627451,1.0,1.0,0.9795918367346939
1.0,1.0,1.0,0.9782608695652174,0.987012987012987

Flexible Plot Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
0.660377358490566,0.6551724137931034,0.6666666666666666,0.7058823529411765,0.6842105263157895
0.6739130434782609,0.6666666666666666,0.7058823529411765,0.6666666666666666,0.5454545454545454
0.6724137931034483,0.6710526315789473,0.6666666666666666,0.5,0.6571428571428571
0.6785714285714286,0.6666666666666666,0.68,0.6666666666666666,0.5102040816326531
0.6666666666666666,0.5454545454545454,0.6666666666666666,0.6739130434782609,0.6753246753246753

Fixed Bar Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,0.8888888888888888,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0

Flexible Bar Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0

Fixed Dictator Income Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
0.018867924528301886,0.034482758620689655,0.013888888888888888,0.0,0.0
0.021739130434782608,0.0,0.0,0.0,0.0
0.017241379310344827,0.013157894736842105,0.0,0.0,0.0
0.03571428571428571,0.0196078431372549,0.0,0.0,0.02040816326530612
0.0,0.0,0.0,0.021739130434782608,0.012987012987012988

Fixed Decider Income Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
0.9454926624737946,0.9310344827586207,0.9506172839506173,0.9673202614379085,0.9649122807017544
0.9444444444444444,0.9629629629629629,0.9673202614379085,0.9629629629629629,0.9494949494949495
0.9482758620689655,0.9517543859649122,0.9629629629629629,0.8888888888888888,0.9619047619047619
0.9325396825396826,0.9455337690631809,0.9644444444444444,0.9629629629629629,0.927437641723356
0.9629629629629629,0.9494949494949495,0.9629629629629629,0.9444444444444444,0.9523809523809523

Flexible Dictator Income Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
0.33962264150943394,0.3448275862068966,0.3333333333333333,0.29411764705882354,0.3157894736842105
0.32608695652173914,0.3333333333333333,0.29411764705882354,0.3333333333333333,0.45454545454545453
0.3275862068965517,0.32894736842105265,0.3333333333333333,0.0,0.34285714285714286
0.32142857142857145,0.3333333333333333,0.32,0.3333333333333333,0.4897959183673469
0.3333333333333333,0.45454545454545453,0.3333333333333333,0.32608695652173914,0.3246753246753247

Flexible Decider Income Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
0.9811320754716981,0.9655172413793104,0.9861111111111112,1.0,1.0
0.9782608695652174,1.0,1.0,1.0,1.0
0.9827586206896551,0.9868421052631579,1.0,1.0,1.0
0.9642857142857143,0.9803921568627451,1.0,1.0,0.9795918367346939
1.0,1.0,1.0,0.9782608695652174,0.987012987012987

