Data,Error
[0.98365281 0.9768639  0.98339423 0.98425357 0.98515298],[0.00492922 0.00341305 0.00285929 0.00280027 0.00203856]
[0.49697684 0.49939723 0.49802474 0.5015662  0.49833606],[0.002417   0.00185882 0.0016763  0.00237407 0.0034948 ]
[0.02997691 0.01835052 0.02653764 0.02443674 0.02311863],[0.00497475 0.00237468 0.0046194  0.00342342 0.00371947]
