Data,Error
[0.5867869  0.56531678 0.68173077],[0.04417175 0.03323345 0.07947749]
[0.5536859  0.58067062 0.55098869],[0.03577166 0.0390436  0.02649162]
[0.19691647 0.22816352 0.27286901],[0.06587653 0.06071728 0.05418385]
[0.47769638 0.47798311 0.47789464],[0.00461565 0.0051961  0.00714895]
