Data,Error
[0.96756752 0.97715404 0.98836631],[0.01037623 0.00468999 0.00373515]
[0.98337311 0.98132436 0.97574104],[0.00369496 0.00431494 0.00239938]
[0.0326999  0.02744892 0.03137884],[0.00804061 0.00617356 0.00828778]
[0.02508531 0.0141143  0.0268916 ],[0.00598708 0.00108451 0.00413883]
